txnid,amount,tax
TXN20251120000000,6579.55,729.87
TXN20251120000001,945.81,74.56
TXN20251120000002,2659.37,157.0
TXN20251120000003,9730.38,806.61
TXN20251120000004,8921.55,1079.35
TXN20251120000005,7950.16,798.37
TXN20251120000006,5773.27,570.42
TXN20251120000007,1960.48,265.83
TXN20251120000008,2814.92,67.25
TXN20251120000009,6458.27,312.18
TXN20251120000010,9405.18,1623.6
TXN20251120000011,9149.5,724.87
TXN20251120000012,164.41,27.71
TXN20251120000013,4287.56,748.89
TXN20251120000014,9636.56,1507.94
TXN20251120000015,2951.54,240.89
TXN20251120000016,8512.86,601.92
TXN20251120000017,1703.23,185.8
TXN20251120000018,9362.19,1229.86
TXN20251120000019,5704.91,202.8
TXN20251120000020,6153.92,1097.91
TXN20251120000021,1409.44,145.08
TXN20251120000022,8774.96,1215.53
TXN20251120000023,6973.19,923.23
TXN20251120000024,3601.32,241.2
TXN20251120000025,8095.52,1211.24
TXN20251120000026,8672.05,1440.59
TXN20251120000027,5118.31,513.07
TXN20251120000028,7984.97,990.09
TXN20251120000029,7022.65,1034.62
TXN20251120000030,8901.15,659.39
TXN20251120000031,3762.07,131.81
TXN20251120000032,5787.02,149.02
TXN20251120000033,4661.32,497.94
TXN20251120000034,2872.55,329.0
TXN20251120000035,314.7,8.17
TXN20251120000036,8227.78,638.73
TXN20251120000037,1279.33,132.49
TXN20251120000038,7702.24,420.01
TXN20251120000039,6232.68,209.76
TXN20251120000040,526.3,55.27
TXN20251120000041,5410.94,660.07
TXN20251120000042,7263.65,1279.39
TXN20251120000043,5167.84,370.39
TXN20251120000044,7953.91,503.75
TXN20251120000045,4395.32,143.08
TXN20251120000046,263.25,45.81
TXN20251120000047,8361.44,1098.32
TXN20251120000048,4095.44,195.46
TXN20251120000049,1572.81,94.43
TXN20251120000050,5496.77,738.41
TXN20251120000051,6605.37,427.96
TXN20251120000052,9549.1,1318.38
TXN20251120000053,5548.0,653.97
TXN20251120000054,4201.8,250.58
TXN20251120000055,3566.17,503.74
TXN20251120000056,153.79,5.93
TXN20251120000057,469.57,12.45
TXN20251120000058,8556.05,1134.41
TXN20251120000059,4747.0,169.25
TXN20251120000060,4921.24,471.24
TXN20251120000061,1740.29,155.61
TXN20251120000062,3991.06,473.08
TXN20251120000063,6354.59,173.15
TXN20251120000064,3752.38,450.8
TXN20251120000065,5036.33,790.9
TXN20251120000066,6590.35,303.61
TXN20251120000067,714.98,87.79
TXN20251120000068,274.85,31.26
TXN20251120000069,9402.9,1053.84
TXN20251120000070,3887.82,477.91
TXN20251120000071,4587.95,492.28
TXN20251120000072,9415.23,769.94
TXN20251120000073,9612.29,1584.64
TXN20251120000074,1965.95,61.14
TXN20251120000075,1016.77,23.3
TXN20251120000076,953.49,123.27
TXN20251120000077,721.17,51.23
TXN20251120000078,8450.3,200.47
TXN20251120000079,8146.54,530.31
TXN20251120000080,1190.47,156.52
TXN20251120000081,6293.14,1009.39
TXN20251120000082,7353.36,1092.39
TXN20251120000083,2827.53,136.83
TXN20251120000084,7508.64,1119.49
TXN20251120000085,9905.15,852.03
TXN20251120000086,3726.46,537.45
TXN20251120000087,3414.63,576.8
TXN20251120000088,8585.54,761.01
TXN20251120000089,7511.2,1057.03
TXN20251119000092,2586.84,324.9
TXN20251119000093,8174.05,889.6
TXN20251119000094,5301.21,311.16
TXN20251119000095,940.1,153.76
TXN20251119000096,9005.18,1092.29
TXN20251119000097,3396.91,257.74
TXN20251119000098,7262.3,1187.66
TXN20251119000099,8871.99,1284.49
