txnid,amount,tax
TXN20251119000000,3751.66,645.71
TXN20251119000001,7322.62,847.85
TXN20251119000002,1568.63,70.52
TXN20251119000003,590.26,93.61
TXN20251119000004,6015.14,801.77
TXN20251119000005,215.64,37.78
TXN20251119000006,8326.1,449.4
TXN20251119000007,1826.43,90.12
TXN20251119000008,3049.38,317.02
TXN20251119000009,4325.13,288.04
TXN20251119000010,6122.41,259.09
TXN20251119000011,2928.53,230.23
TXN20251119000012,4566.14,664.96
TXN20251119000013,2004.74,205.04
TXN20251119000014,5928.22,162.62
TXN20251119000015,6079.37,287.46
TXN20251119000016,659.87,113.38
TXN20251119000017,9656.66,1442.16
TXN20251119000018,3053.09,108.77
TXN20251119000019,6845.49,619.0
TXN20251119000020,1229.16,121.97
TXN20251119000021,353.54,58.51
TXN20251119000022,2595.21,327.01
TXN20251119000023,3123.99,322.43
TXN20251119000024,5471.64,271.27
TXN20251119000025,9696.15,1396.45
TXN20251119000026,9395.59,1533.1
TXN20251119000027,5983.02,1002.16
TXN20251119000028,894.04,45.92
TXN20251119000029,461.82,33.28
TXN20251119000030,3892.89,246.87
TXN20251119000031,8289.09,638.93
TXN20251119000032,2816.54,300.89
TXN20251119000033,1417.83,210.34
TXN20251119000034,754.76,134.27
TXN20251119000035,7724.73,400.1
TXN20251119000036,65.17,9.81
TXN20251119000037,7071.5,966.26
TXN20251119000038,7714.99,245.7
TXN20251119000039,3591.07,138.4
TXN20251119000040,8632.4,1033.54
TXN20251119000041,3315.67,100.03
TXN20251119000042,3116.71,224.49
TXN20251119000043,7298.77,890.52
TXN20251119000044,8873.26,847.88
TXN20251119000045,1204.75,161.58
TXN20251119000046,7610.24,835.64
TXN20251119000047,7711.96,763.54
TXN20251119000048,5232.1,462.55
TXN20251119000049,263.94,9.84
TXN20251119000050,323.98,39.47
TXN20251119000051,3150.42,319.36
TXN20251119000052,9076.59,543.57
TXN20251119000053,4109.73,579.01
TXN20251119000054,2295.69,74.19
TXN20251119000055,2904.62,133.02
TXN20251119000056,9297.68,1388.14
TXN20251119000057,6337.7,1010.44
TXN20251119000058,8038.68,400.74
TXN20251119000059,8926.66,948.86
TXN20251119000060,8076.33,1319.47
TXN20251119000061,3186.85,119.85
TXN20251119000062,2287.07,202.03
TXN20251119000063,8181.97,1290.43
TXN20251119000064,79.45,8.08
TXN20251119000065,4179.94,232.14
TXN20251119000066,1207.46,89.37
TXN20251119000067,9429.67,676.22
TXN20251119000068,5192.72,687.95
TXN20251119000069,3642.66,639.23
TXN20251119000070,9624.85,580.24
TXN20251119000071,4977.51,339.17
TXN20251119000072,2855.56,73.96
TXN20251119000073,6099.55,612.57
TXN20251119000074,524.27,33.86
TXN20251119000075,9083.58,529.84
TXN20251119000076,1457.5,143.29
TXN20251119000077,9856.65,578.87
TXN20251119000078,6724.63,953.95
TXN20251119000079,2384.0,325.45
TXN20251119000080,3684.15,446.4
TXN20251119000081,6338.96,670.18
TXN20251119000082,911.99,140.13
TXN20251119000083,3214.59,160.22
TXN20251119000084,417.34,47.8
TXN20251119000085,6778.87,153.57
TXN20251119000086,5125.81,288.27
TXN20251119000087,6455.28,309.2
TXN20251119000088,6912.47,565.98
TXN20251119000089,9367.93,393.48
TXN20251119000090,3417.25,130.39
TXN20251119000091,9247.69,1483.09
TXN20251119000092,2586.84,324.9
TXN20251119000093,8174.05,889.6
TXN20251119000094,5301.21,311.16
TXN20251119000095,940.1,153.76
TXN20251119000096,9005.18,1092.29
TXN20251119000097,3396.91,257.74
TXN20251119000098,7262.3,1187.66
TXN20251119000099,8871.99,1284.49
